feature,best_contamination,alerts,precision,recall,f1,fpr
destination_computer_encoded,0.25,3417,0.2370500438981563,0.39628180039138944,0.29664896539095403,0.22472200672355833
logins_per_hour,0.25,3234,0.22294372294372294,0.3527397260273973,0.27320954907161804,0.21661925696060685
authentication_orientation_encoded,0.2,2330,0.24763948497854077,0.28228962818003916,0.2638317329675354,0.15110766313248858
destination_fanin,0.15,1928,0.1924273858921162,0.1815068493150685,0.18680765357502518,0.13421256788207914
source_user_encoded,0.25,3437,0.10707011929007856,0.18003913894324852,0.13428206531654807,0.26454615981380913
authentication_type_encoded,0.1,917,0.12649945474372956,0.05675146771037182,0.07835190813914218,0.06904577191621412
is_privileged_target,0.15,1618,0.06613102595797281,0.052348336594911934,0.05843801201529219,0.1302473924661667
is_failed_login,0.05,125,0.048,0.0029354207436399216,0.005532503457814661,0.010257736402034307
